
============================================================
📊 VISUALIZACIÓN DE RESULTADOS DEL MODELO
============================================================

🔵 Estado del modelo: OPTIMAL
💰 Valor objetivo (ganancia neta): $2,161,723.28

📈 DESGLOSE ECONÓMICO:
  - Ingresos por venta: $4,061,341.88
  - Costo de cosecha: $1,643,869.97
  - Costo de instalacion: $235,000.00
  - Costo de transporte: $6,948.63
  - Costo de construccion_caminos: $13,800.00

🔧 VARIABLES RELEVANTES:

  🔸 Faena Cosechada (x):
    - Faena 2 → Hectarea 2, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 2, máquina skidder, período 2, cosecha: 1.00 
    - Faena 2 → Hectarea 2, máquina skidder, período 3, cosecha: 1.00 
    - Faena 2 → Hectarea 1, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 1, máquina skidder, período 3, cosecha: 1.00 
    - Faena 2 → Hectarea 46, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 46, máquina skidder, período 3, cosecha: 1.00 
    - Faena 2 → Hectarea 46, máquina skidder, período 5, cosecha: 1.00 
    - Faena 2 → Hectarea 47, máquina skidder, período 2, cosecha: 1.00 
    - Faena 2 → Hectarea 47, máquina skidder, período 5, cosecha: 1.00 
    - Faena 2 → Hectarea 4, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 4, máquina skidder, período 5, cosecha: 1.00 
    - Faena 2 → Hectarea 5, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 5, máquina skidder, período 2, cosecha: 1.00 
    - Faena 2 → Hectarea 5, máquina skidder, período 5, cosecha: 1.00 
    - Faena 2 → Hectarea 6, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 6, máquina skidder, período 3, cosecha: 1.00 
    - Faena 2 → Hectarea 48, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 48, máquina skidder, período 5, cosecha: 1.00 
    - Faena 2 → Hectarea 48, máquina skidder, período 6, cosecha: 1.00 
    - Faena 2 → Hectarea 49, máquina skidder, período 2, cosecha: 1.00 
    - Faena 2 → Hectarea 49, máquina skidder, período 3, cosecha: 1.00 
    - Faena 2 → Hectarea 49, máquina skidder, período 5, cosecha: 1.00 
    - Faena 2 → Hectarea 9, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 9, máquina skidder, período 3, cosecha: 1.00 
    - Faena 2 → Hectarea 10, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 10, máquina skidder, período 2, cosecha: 1.00 
    - Faena 2 → Hectarea 10, máquina skidder, período 6, cosecha: 1.00 
    - Faena 2 → Hectarea 50, máquina skidder, período 1, cosecha: 1.00 
    - Faena 2 → Hectarea 50, máquina skidder, período 3, cosecha: 1.00 
    - Faena 99 → Hectarea 99, máquina skidder, período 17, cosecha: 1.00 
    - Faena 99 → Hectarea 100, máquina skidder, período 14, cosecha: 1.00 
    - Faena 99 → Hectarea 100, máquina skidder, período 17, cosecha: 1.00 
    - Faena 99 → Hectarea 101, máquina skidder, período 13, cosecha: 1.00 
    - Faena 99 → Hectarea 101, máquina skidder, período 16, cosecha: 1.00 
    - Faena 99 → Hectarea 103, máquina skidder, período 14, cosecha: 1.00 
    - Faena 99 → Hectarea 104, máquina skidder, período 13, cosecha: 1.00 
    - Faena 99 → Hectarea 104, máquina skidder, período 18, cosecha: 1.00 
    - Faena 99 → Hectarea 105, máquina skidder, período 18, cosecha: 1.00 
    - Faena 99 → Hectarea 107, máquina skidder, período 17, cosecha: 1.00 
    - Faena 99 → Hectarea 108, máquina skidder, período 18, cosecha: 1.00 
    - Faena 102 → Hectarea 102, máquina skidder, período 15, cosecha: 1.00 
    - Faena 102 → Hectarea 100, máquina skidder, período 18, cosecha: 1.00 
    - Faena 102 → Hectarea 150, máquina skidder, período 13, cosecha: 1.00 
    - Faena 102 → Hectarea 151, máquina skidder, período 16, cosecha: 1.00 
    - Faena 102 → Hectarea 106, máquina skidder, período 18, cosecha: 1.00 
    - Faena 102 → Hectarea 154, máquina skidder, período 14, cosecha: 1.00 
    - Faena 102 → Hectarea 155, máquina skidder, período 15, cosecha: 1.00 
    - Faena 102 → Hectarea 109, máquina skidder, período 13, cosecha: 1.00 
    - Faena 102 → Hectarea 109, máquina skidder, período 17, cosecha: 1.00 
    - Faena 102 → Hectarea 109, máquina skidder, período 18, cosecha: 1.00 
    - Faena 102 → Hectarea 158, máquina skidder, período 17, cosecha: 1.00 
    - Faena 102 → Hectarea 159, máquina skidder, período 15, cosecha: 1.00 
    - Faena 160 → Hectarea 160, máquina skidder, período 17, cosecha: 1.00 
    - Faena 160 → Hectarea 152, máquina skidder, período 17, cosecha: 1.00 
    - Faena 160 → Hectarea 106, máquina skidder, período 17, cosecha: 1.00 
    - Faena 160 → Hectarea 156, máquina skidder, período 18, cosecha: 1.00 
    - Faena 160 → Hectarea 161, máquina skidder, período 17, cosecha: 1.00 
    - Faena 160 → Hectarea 162, máquina skidder, período 15, cosecha: 1.00 
    - Faena 160 → Hectarea 163, máquina skidder, período 16, cosecha: 1.00 
    - Faena 160 → Hectarea 164, máquina skidder, período 17, cosecha: 1.00 
    - Faena 160 → Hectarea 167, máquina skidder, período 14, cosecha: 1.00 
    - Faena 160 → Hectarea 168, máquina skidder, período 13, cosecha: 1.00 
    - Faena 112 → Hectarea 112, máquina skidder, período 1, cosecha: 1.00 
    - Faena 112 → Hectarea 112, máquina skidder, período 3, cosecha: 1.00 
    - Faena 112 → Hectarea 51, máquina skidder, período 2, cosecha: 1.00 
    - Faena 112 → Hectarea 53, máquina skidder, período 1, cosecha: 1.00 
    - Faena 112 → Hectarea 53, máquina skidder, período 2, cosecha: 1.00 
    - Faena 112 → Hectarea 53, máquina skidder, período 6, cosecha: 1.00 
    - Faena 112 → Hectarea 111, máquina skidder, período 1, cosecha: 1.00 
    - Faena 112 → Hectarea 111, máquina skidder, período 3, cosecha: 1.00 
    - Faena 112 → Hectarea 111, máquina skidder, período 4, cosecha: 1.00 
    - Faena 112 → Hectarea 170, máquina skidder, período 6, cosecha: 1.00 
    - Faena 112 → Hectarea 113, máquina skidder, período 2, cosecha: 1.00 
    - Faena 112 → Hectarea 114, máquina skidder, período 1, cosecha: 1.00 
    - Faena 112 → Hectarea 114, máquina skidder, período 3, cosecha: 1.00 
    - Faena 112 → Hectarea 115, máquina skidder, período 2, cosecha: 1.00 
    - Faena 112 → Hectarea 171, máquina skidder, período 1, cosecha: 1.00 
    - Faena 112 → Hectarea 116, máquina skidder, período 1, cosecha: 1.00 
    - Faena 112 → Hectarea 116, máquina skidder, período 2, cosecha: 1.00 
    - Faena 112 → Hectarea 116, máquina skidder, período 4, cosecha: 1.00 
    - Faena 112 → Hectarea 117, máquina skidder, período 1, cosecha: 1.00 
    - Faena 112 → Hectarea 117, máquina skidder, período 4, cosecha: 1.00 
    - Faena 112 → Hectarea 118, máquina skidder, período 1, cosecha: 1.00 
    - Faena 112 → Hectarea 118, máquina skidder, período 5, cosecha: 1.00 
    - Faena 166 → Hectarea 166, máquina skidder, período 14, cosecha: 1.00 
    - Faena 166 → Hectarea 157, máquina skidder, período 17, cosecha: 1.00 
    - Faena 166 → Hectarea 164, máquina skidder, período 14, cosecha: 1.00 
    - Faena 166 → Hectarea 165, máquina skidder, período 13, cosecha: 1.00 
    - Faena 166 → Hectarea 169, máquina skidder, período 17, cosecha: 1.00 
    - Faena 16 → Hectarea 16, máquina skidder, período 18, cosecha: 1.00 
    - Faena 16 → Hectarea 7, máquina skidder, período 13, cosecha: 1.00 
    - Faena 16 → Hectarea 7, máquina skidder, período 18, cosecha: 1.00 
    - Faena 16 → Hectarea 8, máquina skidder, período 14, cosecha: 1.00 
    - Faena 16 → Hectarea 8, máquina skidder, período 16, cosecha: 1.00 
    - Faena 16 → Hectarea 9, máquina skidder, período 18, cosecha: 1.00 
    - Faena 16 → Hectarea 11, máquina skidder, período 14, cosecha: 1.00 
    - Faena 16 → Hectarea 11, máquina skidder, período 15, cosecha: 1.00 
    - Faena 16 → Hectarea 12, máquina skidder, período 13, cosecha: 1.00 
    - Faena 16 → Hectarea 12, máquina skidder, período 15, cosecha: 1.00 
    - Faena 16 → Hectarea 12, máquina skidder, período 18, cosecha: 1.00 
    - Faena 16 → Hectarea 13, máquina skidder, período 16, cosecha: 1.00 
    - Faena 16 → Hectarea 13, máquina skidder, período 18, cosecha: 1.00 
    - Faena 16 → Hectarea 54, máquina skidder, período 17, cosecha: 1.00 
    - Faena 16 → Hectarea 14, máquina skidder, período 16, cosecha: 1.00 
    - Faena 16 → Hectarea 14, máquina skidder, período 18, cosecha: 1.00 
    - Faena 16 → Hectarea 15, máquina skidder, período 13, cosecha: 1.00 
    - Faena 16 → Hectarea 15, máquina skidder, período 18, cosecha: 1.00 
    - Faena 16 → Hectarea 17, máquina skidder, período 14, cosecha: 1.00 
    - Faena 16 → Hectarea 17, máquina skidder, período 17, cosecha: 1.00 
    - Faena 16 → Hectarea 55, máquina skidder, período 14, cosecha: 1.00 
    - Faena 16 → Hectarea 18, máquina skidder, período 14, cosecha: 1.00 
    - Faena 16 → Hectarea 18, máquina skidder, período 18, cosecha: 1.00 
    - Faena 16 → Hectarea 19, máquina skidder, período 15, cosecha: 1.00 
    - Faena 16 → Hectarea 20, máquina skidder, período 13, cosecha: 1.00 
    - Faena 16 → Hectarea 21, máquina skidder, período 16, cosecha: 1.00 
    - Faena 16 → Hectarea 21, máquina skidder, período 17, cosecha: 1.00 
    - Faena 16 → Hectarea 58, máquina skidder, período 16, cosecha: 1.00 
    - Faena 16 → Hectarea 23, máquina skidder, período 18, cosecha: 1.00 
    - Faena 16 → Hectarea 61, máquina skidder, período 15, cosecha: 1.00 
    - Faena 16 → Hectarea 61, máquina skidder, período 16, cosecha: 1.00 
    - Faena 16 → Hectarea 61, máquina skidder, período 18, cosecha: 1.00 
    - Faena 117 → Hectarea 110, máquina skidder, período 15, cosecha: 1.00 
    - Faena 117 → Hectarea 110, máquina skidder, período 16, cosecha: 1.00 
    - Faena 117 → Hectarea 57, máquina skidder, período 15, cosecha: 1.00 
    - Faena 117 → Hectarea 60, máquina skidder, período 16, cosecha: 1.00 
    - Faena 117 → Hectarea 64, máquina skidder, período 16, cosecha: 1.00 
    - Faena 117 → Hectarea 119, máquina skidder, período 14, cosecha: 1.00 
    - Faena 117 → Hectarea 120, máquina skidder, período 17, cosecha: 1.00 
    - Faena 117 → Hectarea 121, máquina skidder, período 13, cosecha: 1.00 
    - Faena 117 → Hectarea 121, máquina skidder, período 17, cosecha: 1.00 
    - Faena 117 → Hectarea 121, máquina skidder, período 18, cosecha: 1.00 
    - Faena 117 → Hectarea 122, máquina skidder, período 18, cosecha: 1.00 
    - Faena 117 → Hectarea 123, máquina skidder, período 13, cosecha: 1.00 
    - Faena 117 → Hectarea 124, máquina skidder, período 15, cosecha: 1.00 
    - Faena 180 → Hectarea 180, máquina skidder, período 6, cosecha: 1.00 
    - Faena 180 → Hectarea 172, máquina skidder, período 1, cosecha: 1.00 
    - Faena 180 → Hectarea 173, máquina skidder, período 4, cosecha: 1.00 
    - Faena 180 → Hectarea 174, máquina skidder, período 6, cosecha: 1.00 
    - Faena 180 → Hectarea 175, máquina skidder, período 4, cosecha: 1.00 
    - Faena 180 → Hectarea 176, máquina skidder, período 3, cosecha: 1.00 
    - Faena 180 → Hectarea 177, máquina skidder, período 2, cosecha: 1.00 
    - Faena 180 → Hectarea 178, máquina skidder, período 4, cosecha: 1.00 
    - Faena 180 → Hectarea 179, máquina skidder, período 4, cosecha: 1.00 
    - Faena 180 → Hectarea 181, máquina skidder, período 4, cosecha: 1.00 
    - Faena 180 → Hectarea 182, máquina skidder, período 6, cosecha: 1.00 
    - Faena 180 → Hectarea 183, máquina skidder, período 1, cosecha: 1.00 
    - Faena 180 → Hectarea 184, máquina skidder, período 2, cosecha: 1.00 
    - Faena 180 → Hectarea 185, máquina skidder, período 3, cosecha: 1.00 
    - Faena 180 → Hectarea 185, máquina skidder, período 4, cosecha: 1.00 
    - Faena 180 → Hectarea 186, máquina skidder, período 2, cosecha: 1.00 
    - Faena 180 → Hectarea 187, máquina skidder, período 3, cosecha: 1.00 
    - Faena 25 → Hectarea 25, máquina skidder, período 3, cosecha: 1.00 
    - Faena 25 → Hectarea 24, máquina skidder, período 2, cosecha: 1.00 
    - Faena 25 → Hectarea 26, máquina skidder, período 6, cosecha: 1.00 
    - Faena 25 → Hectarea 27, máquina skidder, período 1, cosecha: 1.00 
    - Faena 25 → Hectarea 27, máquina skidder, período 3, cosecha: 1.00 
    - Faena 25 → Hectarea 28, máquina skidder, período 2, cosecha: 1.00 
    - Faena 25 → Hectarea 29, máquina skidder, período 2, cosecha: 1.00 
    - Faena 25 → Hectarea 30, máquina skidder, período 1, cosecha: 1.00 
    - Faena 25 → Hectarea 30, máquina skidder, período 5, cosecha: 1.00 
    - Faena 25 → Hectarea 32, máquina skidder, período 1, cosecha: 1.00 
    - Faena 25 → Hectarea 32, máquina skidder, período 2, cosecha: 1.00 
